"District
Number","District","Campus
Number","Campus","Region","County","School
Type","Grades
Served","Alternative
Education
Accountability","Charter","Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Closing the Gaps","Distinction
Postsecondary
Readiness","US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
"001902","CAYUGA ISD",,,"REGION 07: KILGORE","ANDERSON","District",,"No","No","593","49.7%","1.3%","B","87","B","87","B","87","C","78","B","87","B","86",,,,,,,,,"Not Earned",,,,,,,
"001902","CAYUGA ISD","001902001","CAYUGA H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","No","171","44.4%","1.8%","A","97","A","96","A","94","B","88","A","94","A","98",,,"Earned","Earned","Earned","Not Earned","Earned","Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001902","CAYUGA ISD","001902041","CAYUGA MIDDLE","REGION 07: KILGORE","ANDERSON","Middle School","06 - 08","No","No","166","47%","0.6%","B","85","B","85","B","85","C","79","B","85","B","86",,,"Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001902","CAYUGA ISD","001902103","CAYUGA EL","REGION 07: KILGORE","ANDERSON","Elementary","PK - 05","No","No","256","55.1%","1.6%","C","75","C","77","C","79","D","62","C","79","D","67",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001903","ELKHART ISD",,,"REGION 07: KILGORE","ANDERSON","District",,"No","No","1,194","59%","2.9%","B","83","B","85","B","85","C","70","B","85","C","78",,,,,,,,,"Not Earned",,,,,,,
"001903","ELKHART ISD","001903001","ELKHART H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","No","315","47%","1.3%","A","92","A","92","B","89","B","81","B","89","A","91",,,"Earned","Earned","Earned","Earned","Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001903","ELKHART ISD","001903041","ELKHART MIDDLE","REGION 07: KILGORE","ANDERSON","Middle School","06 - 08","No","No","270","57%","1.9%","B","83","B","84","B","87","D","65","B","87","C","72",,,"Earned","Earned","Earned","Earned","Not Earned","Not Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001903","ELKHART ISD","001903101","ELKHART EL","REGION 07: KILGORE","ANDERSON","Elementary","PK - 02","No","No","327","68.5%","4%","C","77","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001903","ELKHART ISD","001903102","ELKHART INT","REGION 07: KILGORE","ANDERSON","Elementary","03 - 05","No","No","282","63.1%","4.6%","C","77","C","77","B","80","D","62","B","80","C","70",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001904","FRANKSTON ISD",,,"REGION 07: KILGORE","ANDERSON","District",,"No","No","801","58.8%","4.4%","B","88","B","88","A","90","B","80","A","90","B","84",,,,,,,,,"Not Earned",,,,,,,
"001904","FRANKSTON ISD","001904001","FRANKSTON H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","No","245","49.8%","5.3%","A","94","A","94","A","95","B","88","A","95","A","93",,,"Earned","Earned","Not Earned","Not Earned","Earned","Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001904","FRANKSTON ISD","001904041","FRANKSTON MIDDLE","REGION 07: KILGORE","ANDERSON","Middle School","06 - 08","No","No","184","62.5%","3.8%","B","81","C","79","B","84","C","70","B","84","C","74",,,"Not Earned","Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001904","FRANKSTON ISD","001904102","FRANKSTON EL","REGION 07: KILGORE","ANDERSON","Elementary","EE - 05","No","No","372","62.9%","4%","B","86","B","88","B","88","C","79","B","88","B","82",,,"Not Earned","Not Earned","Earned",,"Not Earned","Not Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001906","NECHES ISD",,,"REGION 07: KILGORE","ANDERSON","District",,"No","No","309","56.3%","2.3%","B","87","B","88","B","89","C","73","B","89","B","82",,,,,,,,,"Not Earned",,,,,,,
"001906","NECHES ISD","001906002","NECHES H S","REGION 07: KILGORE","ANDERSON","High School","07 - 12","No","No","140","47.1%","4.3%","A","96","A","96","A","96","B","84","A","96","A","97",,,"Not Earned","Earned","Not Earned","Not Earned","Earned","Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001906","NECHES ISD","001906102","NECHES EL","REGION 07: KILGORE","ANDERSON","Elementary","PK - 06","No","No","169","63.9%","0.6%","C","70","C","74","C","76","F","54","C","76","F","56",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001907","PALESTINE ISD",,,"REGION 07: KILGORE","ANDERSON","District",,"No","No","3,296","80.4%","17.5%","C","75","C","77","B","80","D","65","B","80","D","63",,,,,,,,,"Not Earned",,,,,,,
"001907","PALESTINE ISD","001907001","PALESTINE H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","No","997","76.7%","15.2%","B","88","B","88","B","89","D","69","B","89","B","86",,,"Earned","Earned","Earned","Not Earned","Not Earned","Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001907","PALESTINE ISD","001907041","PALESTINE J H","REGION 07: KILGORE","ANDERSON","Middle School","07 - 08","No","No","493","78.3%","21.3%","C","76","C","72","B","80","C","70","B","80","D","65",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001907","PALESTINE ISD","001907101","NORTHSIDE PRI","REGION 07: KILGORE","ANDERSON","Elementary","KG - 01","No","No","465","80.4%","14.6%","D","61","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001907","PALESTINE ISD","001907102","WASHINGTON EARLY CHILDHOOD CENTER","REGION 07: KILGORE","ANDERSON","Elementary","PK - PK","No","No","221","91.9%","10.9%","D","61","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001907","PALESTINE ISD","001907107","SOUTHSIDE EL","REGION 07: KILGORE","ANDERSON","Elementary","02 - 03","No","No","447","84.8%","17.4%","D","61","D","64","D","69","Not Rated",".","D","69","F","41","Comprehensive Identified",,"Not Earned","Not Earned",,,,"Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001907","PALESTINE ISD","001907110","STORY INT","REGION 07: KILGORE","ANDERSON","Elementary","04 - 06","No","No","673","80.5%","22.1%","D","61","D","67","C","72","F","56","C","72","F","35","Comprehensive Identified",,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001908","WESTWOOD ISD",,,"REGION 07: KILGORE","ANDERSON","District",,"No","No","1,414","74.5%","7.5%","D","69","C","72","C","74","C","72","C","74","F","56",,,,,,,,,"Not Earned",,,,,,,
"001908","WESTWOOD ISD","001908002","WESTWOOD H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","No","438","69.2%","9.8%","C","79","B","81","B","82","B","82","B","81","C","72",,,"Not Earned","Not Earned","Earned","Not Earned","Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001908","WESTWOOD ISD","001908041","WESTWOOD J H","REGION 07: KILGORE","ANDERSON","Middle School","07 - 08","No","No","205","77.1%","9.3%","B","80","C","74","B","82","B","80","B","82","C","75",,,"Not Earned","Earned","Earned","Earned","Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001908","WESTWOOD ISD","001908101","WESTWOOD EL","REGION 07: KILGORE","ANDERSON","Elementary","03 - 06","No","No","408","74%","7.1%","F","52","D","62","D","62","F","57","D","62","F","30","Comprehensive Identified","true","Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001908","WESTWOOD ISD","001908102","WESTWOOD PRI","REGION 07: KILGORE","ANDERSON","Elementary","EE - 02","No","No","363","79.9%","4.1%","F","52","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001909","SLOCUM ISD",,,"REGION 07: KILGORE","ANDERSON","District",,"No","No","349","51.3%","1.4%","B","86","B","86","B","86","C","79","B","86","B","85",,,,,,,,,"Not Earned",,,,,,,
"001909","SLOCUM ISD","001909001","SLOCUM H S","REGION 07: KILGORE","ANDERSON","High School","09 - 12","No","No","93","35.5%","0%","A","94","A","93","A","90","B","82","A","90","A","96",,,"Earned","Earned","Earned","Earned","Not Earned","Earned","Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"001909","SLOCUM ISD","001909101","SLOCUM PK - 8","REGION 07: KILGORE","ANDERSON","Elementary","PK - 08","No","No","256","57%","2%","B","82","B","82","B","83","C","78","B","83","C","78",,,"Earned","Earned","Earned","Earned","Not Earned","Not Earned","Not Earned","6","6","8","8","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"002901","ANDREWS ISD",,,"REGION 18: MIDLAND","ANDREWS","District",,"No","No","4,185","49.5%","15.8%","C","78","C","79","C","76","D","69","C","76","C","77",,,,,,,,,"Not Earned",,,,,,,
"002901","ANDREWS ISD","002901001","ANDREWS H S","REGION 18: MIDLAND","ANDREWS","High School","09 - 12","No","No","1,161","39.5%","8.9%","A","90","B","89","B","85","D","69","B","85","A","92",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Earned","Earned","19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"002901","ANDREWS ISD","002901002","ANDREWS EDUCATION CENTER","REGION 18: MIDLAND","ANDREWS","High School","09 - 12","Yes","No","50","68%","14%","A","91","D","64","A","91","Not Rated",".","A","91","Not Rated",".",,,,,,,,,,"19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"002901","ANDREWS ISD","002901041","ANDREWS MIDDLE","REGION 18: MIDLAND","ANDREWS","Middle School","06 - 08","No","No","920","49.5%","13.8%","B","80","B","81","B","80","C","78","B","80","C","77",,,"Not Earned","Not Earned","Not Earned","Earned","Not Earned","Not Earned","Earned","19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"002901","ANDREWS ISD","002901101","DEVONIAN EL","REGION 18: MIDLAND","ANDREWS","Elementary","02 - 03","No","No","635","52.6%","19.1%","C","71","C","72","D","65","Not Rated",".","D","65","D","68",,,"Not Earned","Not Earned",,,,"Not Earned","Not Earned","19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"002901","ANDREWS ISD","002901104","UNDERWOOD EL","REGION 18: MIDLAND","ANDREWS","Elementary","04 - 05","No","No","648","52.6%","17.1%","D","62","D","65","F","58","F","55","F","58","F","56","Additional Targeted Support",,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"002901","ANDREWS ISD","002901105","CLEARFORK EL","REGION 18: MIDLAND","ANDREWS","Elementary","EE - 01","No","No","771","58.1%","25%","C","71","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003801","PINEYWOODS COMMUNITY ACADEMY",,,"REGION 07: KILGORE","ANGELINA","District",,"No","Yes","996","61.2%","6.2%","B","80","B","83","B","84","C","70","B","84","C","72",,,,,,,,,"Not Earned",,,,,,,
"003801","PINEYWOODS COMMUNITY ACADEMY","003801001","PINEYWOODS COMMUNITY ACADEMY H S","REGION 07: KILGORE","ANGELINA","High School","09 - 12","No","Yes","257","52.9%","3.5%","A","93","A","93","A","90","B","87","A","90","A","94",,,"Earned","Earned","Not Earned","Earned","Earned","Earned","Not Earned","17","17","9","9","3","3","OPEN ENROLLMENT CHARTER SCHOOL"
"003801","PINEYWOODS COMMUNITY ACADEMY","003801042","DR TERRY ROBBINS MIDDLE","REGION 07: KILGORE","ANGELINA","Middle School","06 - 08","No","Yes","225","60%","7.6%","B","85","B","85","B","89","D","69","B","89","C","75",,,"Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Earned","17","17","9","9","3","3","OPEN ENROLLMENT CHARTER SCHOOL"
"003801","PINEYWOODS COMMUNITY ACADEMY","003801103","SARAH STRINDEN EL","REGION 07: KILGORE","ANGELINA","Elementary","PK - 05","No","Yes","514","66%","7%","D","64","C","72","C","72","F","54","C","72","F","46","Comprehensive Identified",,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","OPEN ENROLLMENT CHARTER SCHOOL"
"003902","HUDSON ISD",,,"REGION 07: KILGORE","ANGELINA","District",,"No","No","2,763","54.1%","7.2%","B","87","B","85","B","87","C","75","B","87","B","86",,,,,,,,,"Not Earned",,,,,,,
"003902","HUDSON ISD","003902001","HUDSON H S","REGION 07: KILGORE","ANGELINA","High School","09 - 12","No","No","797","47.8%","5.3%","B","89","B","88","B","88","C","70","B","88","A","92",,,"Earned","Earned","Not Earned","Earned","Not Earned","Earned","Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003902","HUDSON ISD","003902004","STUBBLEFIELD LRN CTR","REGION 07: KILGORE","ANGELINA","High School","10 - 12","Yes","No","8","0%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003902","HUDSON ISD","003902041","HUDSON MIDDLE","REGION 07: KILGORE","ANGELINA","Middle School","06 - 08","No","No","646","54.8%","8.4%","B","89","B","88","A","90","B","84","A","90","B","87",,,"Earned","Earned","Not Earned","Not Earned","Earned","Earned","Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003902","HUDSON ISD","003902101","W F PEAVY PRI","REGION 07: KILGORE","ANGELINA","Elementary","EE - 02","No","No","691","59.2%","6.8%","B","80","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003902","HUDSON ISD","003902102","W H BONNER EL","REGION 07: KILGORE","ANGELINA","Elementary","03 - 05","No","No","621","56.5%","9%","B","80","C","79","B","81","C","71","B","81","C","76",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003903","LUFKIN ISD",,,"REGION 07: KILGORE","ANGELINA","District",,"No","No","7,119","87.5%","21.4%","B","81","C","77","B","84","C","72","B","84","C","75",,,,,,,,,"Not Earned",,,,,,,
"003903","LUFKIN ISD","003903001","LUFKIN H S","REGION 07: KILGORE","ANGELINA","High School","09 - 12","No","No","2,134","84.8%","15.3%","B","87","B","85","B","89","C","77","B","89","B","82",,,"Earned","Earned","Earned","Earned","Earned","Not Earned","Earned","17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903004","STUBBLEFIELD LRN CTR","REGION 07: KILGORE","ANGELINA","High School","10 - 12","Yes","No","35","88.6%","5.7%","B","86","C","75","B","86","Not Rated",".","B","86","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","SELECTIVE ENROL SCHL-CRITERIA-BASED"
"003903","LUFKIN ISD","003903044","LUFKIN MIDDLE","REGION 07: KILGORE","ANGELINA","Middle School","06 - 08","No","No","1,487","89.3%","25%","C","79","C","74","B","85","D","64","B","85","D","66",,,"Not Earned","Not Earned","Earned","Earned","Not Earned","Not Earned","Earned","17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903120","ANDERSON EL","REGION 07: KILGORE","ANGELINA","Elementary","03 - 05","No","No","243","89.7%","13.6%","B","86","C","74","B","85","B","85","B","83","B","89",,,"Not Earned","Not Earned","Not Earned",,"Earned","Earned","Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003903","LUFKIN ISD","003903121","BRANDON EL","REGION 07: KILGORE","ANGELINA","Elementary","03 - 05","No","No","394","70.6%","6.9%","B","82","B","80","B","86","C","78","B","86","C","71",,,"Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Earned","17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903122","BROOKHOLLOW EL","REGION 07: KILGORE","ANGELINA","Elementary","03 - 05","No","No","250","97.2%","10%","D","69","F","58","D","69","D","69","D","63","C","77","Additional Targeted Support",,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003903","LUFKIN ISD","003903123","COSTON EL","REGION 07: KILGORE","ANGELINA","Elementary","03 - 05","No","No","204","97.1%","25%","D","69","D","67","C","75","D","66","C","75","D","69",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003903","LUFKIN ISD","003903124","DUNBAR PRI","REGION 07: KILGORE","ANGELINA","Elementary","KG - 02","No","No","383","78.9%","7%","B","82","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903125","GARRETT PRI","REGION 07: KILGORE","ANGELINA","Elementary","PK - PK","No","No","349","100%","26.9%","B","81","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","SELECTIVE ENROL SCHL-CRITERIA-BASED"
"003903","LUFKIN ISD","003903127","HERTY PRI","REGION 07: KILGORE","ANGELINA","Elementary","EE - 02","No","No","262","93.1%","19.1%","D","69","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903128","KURTH PRI","REGION 07: KILGORE","ANGELINA","Elementary","KG - 02","No","No","231","92.2%","12.1%","B","86","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003903","LUFKIN ISD","003903129","SLACK EL","REGION 07: KILGORE","ANGELINA","Elementary","02 - 05","No","No","520","86.3%","54.2%","D","69","D","67","C","73","D","68","C","73","D","66",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903130","TROUT PRI","REGION 07: KILGORE","ANGELINA","Elementary","EE - 02","No","No","252","94.8%","9.9%","D","69","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903131","BURLEY PRI","REGION 07: KILGORE","ANGELINA","Elementary","KG - 02","No","No","369","86.4%","49.3%","D","69","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003903","LUFKIN ISD","003903201","JUVENILE DETENT CTR","REGION 07: KILGORE","ANGELINA","High School","08 - 11","Yes","No","6","100%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","SPECIAL ASSIGNMENT SCHOOL"
"003904","HUNTINGTON ISD",,,"REGION 07: KILGORE","ANGELINA","District",,"No","No","1,592","59%","1.3%","C","74","C","76","C","78","C","78","C","76","D","66",,,,,,,,,"Not Earned",,,,,,,
"003904","HUNTINGTON ISD","003904001","HUNTINGTON H S","REGION 07: KILGORE","ANGELINA","High School","09 - 12","No","No","499","52.1%","1.4%","B","80","C","78","B","85","B","85","C","79","D","68",,,"Not Earned","Not Earned","Not Earned","Not Earned","Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003904","HUNTINGTON ISD","003904005","PRIDE ALTER SCH","REGION 07: KILGORE","ANGELINA","High School","11 - 12","Yes","No","13","61.5%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003904","HUNTINGTON ISD","003904041","HUNTINGTON MIDDLE","REGION 07: KILGORE","ANGELINA","Middle School","06 - 08","No","No","371","53.9%","1.9%","B","83","B","81","B","82","B","81","B","82","B","85",,,"Not Earned","Earned","Not Earned","Not Earned","Not Earned","Earned","Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003904","HUNTINGTON ISD","003904101","HUNTINGTON EL","REGION 07: KILGORE","ANGELINA","Elementary","EE - 03","No","No","481","66.5%","0.8%","F","50","F","58","F","57","Not Rated",".","F","57","F","30","Comprehensive Identified","true","Not Earned","Not Earned",,,,"Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003904","HUNTINGTON ISD","003904102","HUNTINGTON INT","REGION 07: KILGORE","ANGELINA","Elementary","04 - 05","No","No","228","66.7%","0.9%","D","66","C","72","C","72","F","56","C","72","F","51","Additional Targeted Support",,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003905","DIBOLL ISD",,,"REGION 07: KILGORE","ANGELINA","District",,"No","No","1,668","68%","15.1%","B","80","C","79","B","81","D","66","B","81","C","77",,,,,,,,,"Not Earned",,,,,,,
"003905","DIBOLL ISD","003905001","DIBOLL H S","REGION 07: KILGORE","ANGELINA","High School","09 - 12","No","No","520","56.3%","19%","B","85","B","86","B","83","D","62","B","83","B","81",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003905","DIBOLL ISD","003905004","STUBBLEFIELD LRN CTR","REGION 07: KILGORE","ANGELINA","High School","11 - 12","Yes","No","5","0%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","COMBINED ENROLLMENT TYPE SCHOOL"
"003905","DIBOLL ISD","003905041","DIBOLL J H","REGION 07: KILGORE","ANGELINA","Middle School","06 - 08","No","No","349","71.1%","15.2%","B","83","C","75","B","82","C","72","B","82","B","84",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003905","DIBOLL ISD","003905101","H G TEMPLE EL","REGION 07: KILGORE","ANGELINA","Elementary","KG - 02","No","No","314","73.9%","13.1%","C","73","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003905","DIBOLL ISD","003905102","DIBOLL PRI","REGION 07: KILGORE","ANGELINA","Elementary","PK - PK","No","No","133","85%","7.5%","C","73","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003905","DIBOLL ISD","003905103","H G TEMPLE INT","REGION 07: KILGORE","ANGELINA","Elementary","03 - 05","No","No","347","71.8%","14.1%","C","73","C","72","C","76","D","66","C","76","D","65",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003906","ZAVALLA ISD",,,"REGION 07: KILGORE","ANGELINA","District",,"No","No","320","70.6%","0%","B","83","B","80","B","83","F","58","B","83","B","82",,,,,,,,,"Not Earned",,,,,,,
"003906","ZAVALLA ISD","003906001","ZAVALLA H S","REGION 07: KILGORE","ANGELINA","Elem/Secondary","06 - 12","No","No","159","61.6%","0%","B","85","B","83","B","85","F","58","B","85","B","86",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003906","ZAVALLA ISD","003906101","ZAVALLA EL","REGION 07: KILGORE","ANGELINA","Elementary","EE - 05","No","No","161","79.5%","0%","C","76","C","72","C","79","F","58","C","79","D","69",,,"Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003907","CENTRAL ISD",,,"REGION 07: KILGORE","ANGELINA","District",,"No","No","1,461","63.7%","5.5%","C","79","B","80","B","81","D","62","B","81","C","75",,,,,,,,,"Not Earned",,,,,,,
"003907","CENTRAL ISD","003907001","CENTRAL H S","REGION 07: KILGORE","ANGELINA","High School","09 - 12","No","No","384","58.3%","2.6%","A","90","A","90","B","89","F","57","B","89","A","90",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003907","CENTRAL ISD","003907004","STUBBLEFIELD LRN CTR","REGION 07: KILGORE","ANGELINA","High School","09 - 12","Yes","No","5","80%","0%","A","90","A","90","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
"003907","CENTRAL ISD","003907041","CENTRAL J H","REGION 07: KILGORE","ANGELINA","Middle School","05 - 08","No","No","440","61.8%","5.2%","C","72","C","74","C","75","D","65","C","75","D","65",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","17","17","9","9","3","3","ZONED SCHOOL-TRANSFERS ACCEPTED"
